EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
216642,6447727,70,115,1,1e-06,4.99e-07
217642,6366727,12,330,3,1e-06,0.0
217642,6367727,10,148,3,1e-06,0.0
217642,6368727,80,109,1,1e-06,4.99e-07
217642,6369727,28,296,3,1e-06,4.99e-07
217642,6371727,28,272,14,1e-06,4.99e-07
217642,6373727,39,257,5,1e-06,4.99e-07
217642,6374727,60,256,1,1e-06,4.99e-07
217642,6375727,55,268,14,1e-06,0.0
217642,6376727,54,262,27,1e-06,4.99e-07
217642,6377727,50,265,20,1e-06,4.99e-07
217642,6378727,13,188,4,1e-06,0.0
217642,6379727,44,265,9,1e-06,4.99e-07
217642,6390727,82,268,3,1e-06,0.0
217642,6391727,80,288,2,1e-06,0.0
217642,6392727,19,108,39,1e-06,4.99e-07
217642,6393727,40,291,20,1e-06,4.99e-07
217642,6394727,51,111,17,1e-06,4.99e-07
217642,6396727,64,281,22,1e-06,4.99e-07
217642,6404727,49,100,1,1e-06,0.0
217642,6409727,60,275,1,1e-06,4.99e-07
217642,6414727,85,120,1,1e-06,4.99e-07
217642,6426727,9,275,1,1e-06,4.99e-07
217642,6436727,90,90,1,inf,0.0
217642,6437727,75,100,1,1e-06,0.0
217642,6454727,7,65,3,1e-06,4.99e-07
218642,6366727,9,280,1,1e-06,4.99e-07
218642,6367727,18,252,4,1e-06,4.99e-07
218642,6368727,7,282,7,1e-06,4.99e-07
218642,6370727,5,272,2,1e-06,4.99e-07
218642,6371727,34,276,17,1e-06,4.99e-07
218642,6373727,65,265,1,1e-06,4.99e-07
218642,6377727,41,263,1,1e-06,4.99e-07
218642,6378727,31,256,12,1e-06,4.99e-07
218642,6379727,50,264,2,1e-06,0.0
218642,6382727,49,300,1,1e-06,4.99e-07
218642,6389727,5,199,1,1e-06,0.0
218642,6390727,70,250,2,1e-06,0.0
218642,6391727,29,265,1,1e-06,4.99e-07
218642,6392727,59,277,2,1e-06,0.0
218642,6393727,49,290,2,1e-06,0.0
218642,6394727,9,310,1,1e-06,0.0
218642,6407727,75,90,1,1e-06,0.0
218642,6417727,19,255,1,1e-06,4.99e-07
218642,6427727,14,325,1,1e-06,0.0
218642,6429727,14,20,1,1e-06,4.99e-07
218642,6437727,75,110,1,1e-06,4.99e-07
219642,6370727,14,90,1,1e-06,0.0
219642,6380727,19,95,1,1e-06,0.0
219642,6384727,14,265,1,1e-06,4.99e-07
219642,6387727,29,204,1,1e-06,0.0
219642,6398727,15,15,2,1e-06,0.0
219642,6410727,80,100,1,1e-06,0.0
219642,6425727,69,290,1,1e-06,4.99e-07
219642,6434727,25,5,1,1e-06,4.99e-07
219642,6443727,57,113,2,1e-06,4.99e-07
219642,6449727,75,120,1,1e-06,4.99e-07
219642,6454727,85,110,1,1e-06,4.99e-07
220642,6370727,29,80,1,1e-06,0.0
220642,6380727,5,95,1,1e-06,0.0
220642,6387727,5,90,2,1e-06,4.99e-07
220642,6389727,5,90,1,1e-06,0.0
220642,6396727,9,270,1,inf,0.0
220642,6397727,39,335,1,1e-06,0.0
220642,6424727,80,105,1,1e-06,4.99e-07
220642,6428727,90,95,1,1e-06,4.99e-07
220642,6429727,69,10,1,1e-06,0.0
220642,6437727,39,295,1,1e-06,4.99e-07
220642,6443727,75,115,1,1e-06,4.99e-07
220642,6448727,54,125,1,1e-06,4.99e-07
221642,6370727,40,95,1,1e-06,0.0
221642,6390727,25,90,1,1e-06,0.0
221642,6395727,14,65,1,1e-06,0.0
221642,6398727,29,350,1,1e-06,0.0
221642,6423727,65,285,1,1e-06,4.99e-07
221642,6429727,70,105,1,1e-06,0.0
221642,6436727,49,295,1,1e-06,4.99e-07
221642,6445727,69,120,1,1e-06,4.99e-07
222642,6332727,5,40,1,1e-06,4.99e-07
222642,6333727,9,6,3,1e-06,0.0
222642,6374727,34,115,1,1e-06,0.0
222642,6390727,5,90,1,1e-06,0.0
222642,6400727,25,290,1,1e-06,4.99e-07
222642,6404727,39,275,1,1e-06,4.99e-07
222642,6409727,54,270,1,inf,0.0
222642,6427727,65,285,1,1e-06,4.99e-07
222642,6436727,75,95,1,1e-06,0.0
223642,6374727,25,110,1,1e-06,0.0
223642,6387727,5,115,1,1e-06,0.0
223642,6390727,14,80,1,1e-06,0.0
223642,6416727,60,275,1,1e-06,4.99e-07
223642,6422727,60,280,1,1e-06,4.99e-07
223642,6434727,69,290,1,1e-06,4.99e-07
223642,6439727,44,105,1,1e-06,0.0
223642,6440727,59,305,1,1e-06,4.99e-07
223642,6444727,80,120,1,1e-06,4.99e-07
224642,6363727,52,355,2,1e-06,4.99e-07
224642,6364727,25,330,1,1e-06,0.0
224642,6391727,29,120,1,1e-06,4.99e-07
224642,6396727,9,95,1,1e-06,0.0
224642,6404727,39,275,1,1e-06,4.99e-07
224642,6408727,54,275,1,1e-06,4.99e-07
224642,6428727,70,280,1,1e-06,4.99e-07
224642,6441727,80,110,1,1e-06,4.99e-07
224642,6443727,55,130,1,1e-06,4.99e-07
224642,6453727,0,0,1,inf,0.0
